encodeID	biosample_term_name	biosample_type	biosample_term_id	filename	url	encode_url
ENCFF506WHF	mucosa_of_rectum	tissue	UBERON:0003346	RECTAL_MUCOSA.DONOR_29.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/RECTAL_MUCOSA.DONOR_29.bed.gz	https://www.encodeproject.org/files/ENCFF506WHF/@@download/ENCFF506WHF.bed.gz
ENCFF481YAX	astrocyte	primary_cell	CL:0000127	NH-A.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/NH-A.bed.gz	https://www.encodeproject.org/files/ENCFF481YAX/@@download/ENCFF481YAX.bed.gz
ENCFF824WDJ	heart_right_ventricle	tissue	UBERON:0002080	RIGHT_VENTRICLE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/RIGHT_VENTRICLE.bed.gz	https://www.encodeproject.org/files/ENCFF824WDJ/@@download/ENCFF824WDJ.bed.gz
ENCFF851GWT	thymus	tissue	UBERON:0002370	FETAL_THYMUS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_THYMUS.bed.gz	https://www.encodeproject.org/files/ENCFF851GWT/@@download/ENCFF851GWT.bed.gz
ENCFF130BAY	lung	tissue	UBERON:0002048	FETAL_LUNG.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_LUNG.bed.gz	https://www.encodeproject.org/files/ENCFF130BAY/@@download/ENCFF130BAY.bed.gz
ENCFF017DMK	ovary	tissue	UBERON:0000992	OVARY.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/OVARY.bed.gz	https://www.encodeproject.org/files/ENCFF017DMK/@@download/ENCFF017DMK.bed.gz
ENCFF786ZNY	right_cardiac_atrium	tissue	UBERON:0002078	RIGHT_ATRIUM.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/RIGHT_ATRIUM.bed.gz	https://www.encodeproject.org/files/ENCFF786ZNY/@@download/ENCFF786ZNY.bed.gz
ENCFF116VEC	skeletal_muscle_myoblast	primary_cell	CL:0000515	HSMM.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HSMM.bed.gz	https://www.encodeproject.org/files/ENCFF116VEC/@@download/ENCFF116VEC.bed.gz
ENCFF245FFX	stomach	tissue	UBERON:0000945	GASTRIC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/GASTRIC.bed.gz	https://www.encodeproject.org/files/ENCFF245FFX/@@download/ENCFF245FFX.bed.gz
ENCFF841VOL	cardiac_fibroblast	primary_cell	CL:0002548	HCFAA.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HCFAA.bed.gz	https://www.encodeproject.org/files/ENCFF841VOL/@@download/ENCFF841VOL.bed.gz
